country,region,source,segment,type,abatement,savings (kt),cost (USD/MBtu)
Cameroon,Africa,Onshore conventional gas,Upstream,Gas,Replace with electric motor,0.02,-2.37
Brunei,Asia Pacific,Downstream gas,Downstream,Gas,Other,0.53,-2.37
Malaysia,Asia Pacific,Downstream gas,Downstream,Gas,Other,16.95,-2.37
Ecuador,Central and South America,Offshore oil,Upstream,Oil,Other,0.01,-2.37
Thailand,Asia Pacific,Downstream gas,Downstream,Gas,Other,20.3,-2.37
Qatar,Middle East,Offshore oil,Upstream,Oil,Replace with electric motor,4.19,-2.37
Qatar,Middle East,Offshore gas,Upstream,Gas,Replace with electric motor,7.28,-2.37
Other,Other,Offshore gas,Upstream,Gas,Associated gas utilisation,0.53,-2.37
Philippines,Asia Pacific,Downstream gas,Downstream,Gas,Other,0.82,-2.37
Other countries in Southeast Asia,Asia Pacific,Downstream gas,Downstream,Gas,Other,5.41,-2.37
Viet Nam,Asia Pacific,Downstream gas,Downstream,Gas,Other,1.67,-2.37
Peru,Central and South America,Offshore oil,Upstream,Oil,Associated gas utilisation,0.43,-2.36
Iraq,Middle East,Onshore conventional oil,Upstream,Oil,Replace with electric motor,70.21,-2.36
Azerbaijan,Russia & Caspian,Downstream oil,Downstream,Oil,Vapour recovery units,0.27,-2.36
Israel,Europe,Downstream gas,Downstream,Gas,Quarterly LDAR,1.78,-2.35
Israel,Europe,Downstream oil,Downstream,Oil,Quarterly LDAR,0.06,-2.35
Qatar,Middle East,Onshore conventional gas,Upstream,Gas,Replace with electric motor,1.15,-2.34
United Arab Emirates,Middle East,Onshore conventional gas,Upstream,Gas,Replace with electric motor,18.85,-2.34
Yemen,Middle East,Onshore conventional oil,Upstream,Oil,Replace with electric motor,15.85,-2.34
Turkmenistan,Russia & Caspian,Downstream oil,Downstream,Oil,Vapour recovery units,1.05,-2.33
United Kingdom,Europe,Downstream oil,Downstream,Oil,Quarterly LDAR,0.44,-2.33
United Kingdom,Europe,Downstream gas,Downstream,Gas,Quarterly LDAR,10.16,-2.33
Other,Other,Downstream oil,Downstream,Oil,Vapour recovery units,0.7,-2.33
India,Asia Pacific,Onshore conventional oil,Upstream,Oil,Associated gas utilisation,8.86,-2.33
Cuba,Central and South America,Downstream gas,Downstream,Gas,Replace with electric motor,0.17,-2.33
Denmark,Europe,Downstream oil,Downstream,Oil,Vapour recovery units,0.2,-2.32
Angola,Africa,Offshore oil,Upstream,Oil,Replace compressor seal or rod,0.09,-2.32
Kazakhstan,Russia & Caspian,Downstream oil,Downstream,Oil,Vapour recovery units,1.18,-2.32
Thailand,Asia Pacific,Onshore conventional oil,Upstream,Oil,Replace with electric motor,2.96,-2.32
Saudi Arabia,Middle East,Downstream gas,Downstream,Gas,Replace with electric motor,5.9,-2.3
Other countries in Europe,Europe,Onshore conventional oil,Upstream,Oil,Associated gas utilisation,1.66,-2.3
Jordan,Middle East,Onshore conventional gas,Upstream,Gas,Replace with electric motor,0.05,-2.3
Jordan,Middle East,Unconventional gas,Upstream,Gas,Replace with electric motor,0.02,-2.29
Bangladesh,Asia Pacific,Onshore conventional gas,Upstream,Gas,Install plunger,1.8,-2.29
Philippines,Asia Pacific,Downstream gas,Downstream,Gas,Vapour recovery units,0.01,-2.29
Pakistan,Asia Pacific,Unconventional gas,Upstream,Gas,Install plunger,0.15,-2.29
Pakistan,Asia Pacific,Onshore conventional gas,Upstream,Gas,Install plunger,3.04,-2.29
Romania,Europe,Onshore conventional oil,Upstream,Oil,Replace with electric motor,7.09,-2.29
United Kingdom,Europe,Offshore gas,Upstream,Gas,Continuous LDAR,2.94,-2.29
United Kingdom,Europe,Offshore oil,Upstream,Oil,Continuous LDAR,4.65,-2.29
Syria,Middle East,Onshore conventional oil,Upstream,Oil,Replace with electric motor,32.23,-2.28
Bahrain,Middle East,Onshore conventional oil,Upstream,Oil,Replace with electric motor,9.44,-2.28
Cuba,Central and South America,Downstream oil,Downstream,Oil,Vapour recovery units,0.59,-2.28
Bangladesh,Asia Pacific,Downstream gas,Downstream,Gas,Replace with electric motor,8.01,-2.27
Botswana,Africa,Unconventional gas,Upstream,Gas,Replace with instrument air systems,0.11,-2.27
Indonesia,Asia Pacific,Onshore conventional gas,Upstream,Gas,Install plunger,1.61,-2.27
Other,Other,Onshore conventional gas,Upstream,Gas,Replace with electric motor,3.82,-2.27
Oman,Middle East,Downstream gas,Downstream,Gas,Replace with electric motor,4.14,-2.27
Norway,Europe,Downstream gas,Downstream,Gas,Replace with electric motor,0.04,-2.27
Other countries in Europe,Europe,Offshore gas,Upstream,Gas,Biannual LDAR,0.07,-2.26
China,Asia Pacific,Onshore conventional oil,Upstream,Oil,Replace pumps,133.89,-2.26
Yemen,Middle East,Onshore conventional gas,Upstream,Gas,Replace with electric motor,0.06,-2.26
Libya,Africa,Offshore oil,Upstream,Oil,Associated gas utilisation,5.82,-2.25
Other countries in Europe,Europe,Onshore conventional oil,Upstream,Oil,Other,2.41,-2.25
Other,Other,Downstream oil,Downstream,Oil,Vapour recovery units,0.05,-2.24
Senegal,Africa,Offshore oil,Upstream,Oil,Replace with electric motor,0.03,-2.24
Poland,Europe,Onshore conventional oil,Upstream,Oil,Vapour recovery units,0.5,-2.24
Jordan,Middle East,Downstream gas,Downstream,Gas,Replace with electric motor,0.45,-2.24
Jordan,Middle East,Downstream oil,Downstream,Oil,Vapour recovery units,0.08,-2.23
Egypt,Africa,Offshore gas,Upstream,Gas,Replace with electric motor,2.02,-2.23
Kazakhstan,Russia & Caspian,Onshore conventional oil,Upstream,Oil,Replace pumps,66.87,-2.22
Israel,Europe,Offshore gas,Upstream,Gas,Continuous LDAR,1.05,-2.22
Cameroon,Africa,Offshore oil,Upstream,Oil,Vapour recovery units,13.9,-2.22
Qatar,Middle East,Downstream gas,Downstream,Gas,Replace with electric motor,4.57,-2.22
South Africa,Africa,Onshore conventional oil,Upstream,Oil,Vapour recovery units,6.44,-2.22
United Arab Emirates,Middle East,Downstream gas,Downstream,Gas,Replace with electric motor,7.64,-2.22
Other,Other,Offshore oil,Upstream,Oil,Associated gas utilisation,0.03,-2.22
Other,Other,Downstream oil,Downstream,Oil,Replace with electric motor,2.26,-2.21
Other,Other,Onshore conventional oil,Upstream,Oil,Replace with electric motor,0.31,-2.21
Paraguay,Central and South America,Downstream oil,Downstream,Oil,Replace with electric motor,0.12,-2.21
Peru,Central and South America,Downstream oil,Downstream,Oil,Replace with electric motor,0.73,-2.21
Nigeria,Africa,Offshore oil,Upstream,Oil,Vapour recovery units,163.24,-2.21
Trinidad and Tobago,Central and South America,Downstream oil,Downstream,Oil,Replace with electric motor,0.04,-2.21
Cameroon,Africa,Offshore gas,Upstream,Gas,Replace with electric motor,0.18,-2.21
Cuba,Central and South America,Downstream oil,Downstream,Oil,Replace with electric motor,0.53,-2.21
Congo,Africa,Offshore gas,Upstream,Gas,Replace with electric motor,0.04,-2.21
Cote d'Ivoire,Africa,Offshore gas,Upstream,Gas,Replace with electric motor,0.12,-2.21
Bolivia,Central and South America,Downstream oil,Downstream,Oil,Replace with electric motor,1.01,-2.21
Argentina,Central and South America,Downstream oil,Downstream,Oil,Replace with electric motor,2.2,-2.21
Ecuador,Central and South America,Downstream oil,Downstream,Oil,Replace with electric motor,13.63,-2.21
Equatorial Guinea,Africa,Offshore gas,Upstream,Gas,Replace with electric motor,0.56,-2.21
Guyana,Central and South America,Downstream oil,Downstream,Oil,Replace with electric motor,0.1,-2.21
Ghana,Africa,Offshore gas,Upstream,Gas,Replace with electric motor,0.1,-2.21
Uruguay,Central and South America,Downstream oil,Downstream,Oil,Replace with electric motor,0.38,-2.21
Venezuela,Central and South America,Downstream oil,Downstream,Oil,Replace with electric motor,2,-2.21
Ecuador,Central and South America,Offshore gas,Upstream,Gas,Replace with electric motor,0.02,-2.2
Iran,Middle East,Offshore oil,Upstream,Oil,Associated gas utilisation,209.15,-2.2
Iran,Middle East,Offshore gas,Upstream,Gas,Associated gas utilisation,266.93,-2.2
Cote d'Ivoire,Africa,Offshore oil,Upstream,Oil,Replace with electric motor,0.21,-2.2
Cameroon,Africa,Offshore oil,Upstream,Oil,Other,0.36,-2.2
United Kingdom,Europe,Downstream oil,Downstream,Oil,Continuous LDAR,0.21,-2.2
United Kingdom,Europe,Downstream gas,Downstream,Gas,Continuous LDAR,4.88,-2.2
Tunisia,Africa,Offshore gas,Upstream,Gas,Replace with electric motor,0.05,-2.19
Nigeria,Africa,Offshore oil,Upstream,Oil,Other,4.25,-2.19
Denmark,Europe,Offshore oil,Upstream,Oil,Biannual LDAR,0.07,-2.19
Denmark,Europe,Offshore gas,Upstream,Gas,Biannual LDAR,0.02,-2.19
Egypt,Africa,Onshore conventional gas,Upstream,Gas,Replace with electric motor,4.23,-2.19
Egypt,Africa,Unconventional gas,Upstream,Gas,Replace with electric motor,0.46,-2.19
Ghana,Africa,Offshore oil,Upstream,Oil,Associated gas utilisation,16.09,-2.19
Gabon,Africa,Downstream oil,Downstream,Oil,Vapour recovery units,0.39,-2.18
Israel,Europe,Offshore gas,Upstream,Gas,Associated gas utilisation,2.5,-2.18
Nigeria,Africa,Offshore gas,Upstream,Gas,Associated gas utilisation,21.63,-2.18
United Arab Emirates,Middle East,Onshore conventional oil,Upstream,Oil,Replace with electric motor,83.91,-2.18
Russia,Russia & Caspian,Onshore conventional gas,Upstream,Gas,Blowdown capture,374.47,-2.18
Russia,Russia & Caspian,Unconventional gas,Upstream,Gas,Blowdown capture,29.69,-2.18
Israel,Europe,Downstream oil,Downstream,Oil,Continuous LDAR,0.03,-2.17
Indonesia,Asia Pacific,Onshore conventional oil,Upstream,Oil,Replace with electric motor,42.41,-2.17
Israel,Europe,Downstream gas,Downstream,Gas,Continuous LDAR,0.86,-2.17
Gabon,Africa,Offshore oil,Upstream,Oil,Associated gas utilisation,25.67,-2.16
Ecuador,Central and South America,Onshore conventional gas,Upstream,Gas,Replace with electric motor,0.08,-2.16
United Arab Emirates,Middle East,Offshore oil,Upstream,Oil,Associated gas utilisation,192.27,-2.16
Tunisia,Africa,Onshore conventional gas,Upstream,Gas,Replace with electric motor,0.91,-2.15
Angola,Africa,Offshore gas,Upstream,Gas,Vapour recovery units,0.02,-2.15
Argentina,Central and South America,Unconventional gas,Upstream,Gas,Replace pumps,8.88,-2.14
Argentina,Central and South America,Onshore conventional gas,Upstream,Gas,Replace pumps,1.7,-2.14
Bolivia,Central and South America,Onshore conventional gas,Upstream,Gas,Replace pumps,1.62,-2.14
Cuba,Central and South America,Onshore conventional gas,Upstream,Gas,Replace pumps,0.11,-2.14
Colombia,Central and South America,Offshore gas,Upstream,Gas,Replace with electric motor,0.49,-2.14
Ecuador,Central and South America,Onshore conventional gas,Upstream,Gas,Replace pumps,0.01,-2.14
Trinidad and Tobago,Central and South America,Onshore conventional gas,Upstream,Gas,Replace pumps,0.11,-2.14
Peru,Central and South America,Onshore conventional gas,Upstream,Gas,Replace pumps,2.08,-2.14
Venezuela,Central and South America,Onshore conventional gas,Upstream,Gas,Replace pumps,6.61,-2.14
Uzbekistan,Russia & Caspian,Downstream oil,Downstream,Oil,Vapour recovery units,0.27,-2.14
Other,Other,Offshore gas,Upstream,Gas,Replace with electric motor,0.03,-2.13
Nigeria,Africa,Onshore conventional gas,Upstream,Gas,Install plunger,3.03,-2.13
Mozambique,Africa,Onshore conventional gas,Upstream,Gas,Install plunger,0.32,-2.13
Tanzania,Africa,Onshore conventional gas,Upstream,Gas,Install plunger,0.09,-2.13
Gabon,Africa,Onshore conventional gas,Upstream,Gas,Install plunger,0.03,-2.13
Congo,Africa,Onshore conventional gas,Upstream,Gas,Install plunger,0.04,-2.13
Botswana,Africa,Unconventional gas,Upstream,Gas,Install plunger,0.01,-2.13
Angola,Africa,Onshore conventional gas,Upstream,Gas,Install plunger,0.23,-2.13
Guyana,Central and South America,Offshore oil,Upstream,Oil,Associated gas utilisation,30.16,-2.12
Iran,Middle East,Offshore oil,Upstream,Oil,Replace with electric motor,10.69,-2.12
Iran,Middle East,Offshore gas,Upstream,Gas,Replace with electric motor,13.65,-2.12
Turkmenistan,Russia & Caspian,Onshore conventional gas,Upstream,Gas,Install plunger,29.7,-2.12
United Kingdom,Europe,Offshore gas,Upstream,Gas,Associated gas utilisation,6.97,-2.12
Netherlands,Europe,Onshore conventional gas,Upstream,Gas,Replace compressor seal or rod,0.03,-2.11
Other countries in Europe,Europe,Onshore conventional gas,Upstream,Gas,Replace compressor seal or rod,0.01,-2.11
Other countries in Europe,Europe,Onshore conventional gas,Upstream,Gas,Replace compressor seal or rod,0.1,-2.11
Other EU17 countries,Europe,Unconventional gas,Upstream,Gas,Replace compressor seal or rod,0.05,-2.11
Other EU17 countries,Europe,Onshore conventional gas,Upstream,Gas,Replace compressor seal or rod,0.37,-2.11
Italy,Europe,Onshore conventional gas,Upstream,Gas,Replace compressor seal or rod,0.02,-2.11
India,Asia Pacific,Onshore conventional oil,Upstream,Oil,Other,12.89,-2.11
Chad,Africa,Onshore conventional oil,Upstream,Oil,Replace with electric motor,9.4,-2.11
Viet Nam,Asia Pacific,Downstream gas,Downstream,Gas,Vapour recovery units,0.02,-2.11
Colombia,Central and South America,Onshore conventional gas,Upstream,Gas,Replace with electric motor,6.58,-2.1
Germany,Europe,Downstream gas,Downstream,Gas,Vapour recovery units,0.1,-2.1
Other,Other,Offshore gas,Upstream,Gas,Associated gas utilisation,0.24,-2.1
Thailand,Asia Pacific,Offshore oil,Upstream,Oil,Replace with electric motor,2.04,-2.1
Syria,Middle East,Onshore conventional gas,Upstream,Gas,Replace with electric motor,9.23,-2.09
New Zealand,Asia Pacific,Offshore oil,Upstream,Oil,Replace with electric motor,0.03,-2.09
Other,Other,Offshore gas,Upstream,Gas,Replace with electric motor,0.01,-2.09
Egypt,Africa,Downstream gas,Downstream,Gas,Replace with electric motor,9.69,-2.09
Italy,Europe,Onshore conventional gas,Upstream,Gas,Install plunger,0.01,-2.09
Iran,Middle East,Onshore conventional gas,Upstream,Gas,Replace with electric motor,30.81,-2.09
Iraq,Middle East,Onshore conventional gas,Upstream,Gas,Replace with electric motor,4.28,-2.09
Kazakhstan,Russia & Caspian,Onshore conventional gas,Upstream,Gas,Install plunger,1.35,-2.08
Other EU17 countries,Europe,Unconventional gas,Upstream,Gas,Install plunger,0.03,-2.08
Other EU17 countries,Europe,Onshore conventional gas,Upstream,Gas,Install plunger,0.24,-2.08
Other,Other,Onshore conventional gas,Upstream,Gas,Replace with electric motor,0.35,-2.07
Libya,Africa,Offshore gas,Upstream,Gas,Replace with electric motor,0.17,-2.07
Ecuador,Central and South America,Downstream gas,Downstream,Gas,Replace with electric motor,0.1,-2.07
Ghana,Africa,Onshore conventional oil,Upstream,Oil,Replace with electric motor,1.65,-2.07
Azerbaijan,Russia & Caspian,Onshore conventional oil,Upstream,Oil,Replace pumps,0.99,-2.07
Colombia,Central and South America,Onshore conventional gas,Upstream,Gas,Install plunger,0.53,-2.06
Ecuador,Central and South America,Offshore oil,Upstream,Oil,Associated gas utilisation,0.78,-2.05
Other,Other,Onshore conventional oil,Upstream,Oil,Replace pumps,0.33,-2.05
Pakistan,Asia Pacific,Onshore conventional gas,Upstream,Gas,Replace with electric motor,32.84,-2.05
Pakistan,Asia Pacific,Unconventional gas,Upstream,Gas,Replace with electric motor,1.62,-2.04
Tunisia,Africa,Downstream gas,Downstream,Gas,Replace with electric motor,1.33,-2.04
Kuwait,Middle East,Onshore conventional gas,Upstream,Gas,Vapour recovery units,2.99,-2.04
Indonesia,Asia Pacific,Onshore conventional oil,Upstream,Oil,Replace pumps,45.53,-2.04
Australia,Asia Pacific,Offshore gas,Upstream,Gas,Replace with electric motor,1.97,-2.04
Algeria,Africa,Onshore conventional gas,Upstream,Gas,Replace with electric motor,91.12,-2.03
Algeria,Africa,Unconventional gas,Upstream,Gas,Replace with electric motor,0.97,-2.03
Congo,Africa,Downstream gas,Downstream,Gas,Replace with electric motor,0.3,-2.03
Cote d'Ivoire,Africa,Downstream gas,Downstream,Gas,Replace with electric motor,0.39,-2.03
Cameroon,Africa,Downstream gas,Downstream,Gas,Replace with electric motor,0.18,-2.03
Libya,Africa,Onshore conventional gas,Upstream,Gas,Replace with electric motor,3.37,-2.03
Equatorial Guinea,Africa,Downstream gas,Downstream,Gas,Replace with electric motor,0.59,-2.03
Ghana,Africa,Downstream gas,Downstream,Gas,Replace with electric motor,0.6,-2.03
Tunisia,Africa,Onshore conventional oil,Upstream,Oil,Replace with electric motor,1.94,-2.03
Togo,Africa,Downstream gas,Downstream,Gas,Replace with electric motor,0.04,-2.03
Poland,Europe,Onshore conventional oil,Upstream,Oil,Vapour recovery units,0.03,-2.03
Poland,Europe,Offshore oil,Upstream,Oil,Vapour recovery units,0.01,-2.03
Peru,Central and South America,Offshore gas,Upstream,Gas,Replace with electric motor,0.01,-2.02
Australia,Asia Pacific,Onshore conventional gas,Upstream,Gas,Replace with electric motor,0.84,-2.01
Venezuela,Central and South America,Onshore conventional oil,Upstream,Oil,Replace with electric motor,284.32,-2.01
Australia,Asia Pacific,Unconventional gas,Upstream,Gas,Replace with electric motor,14.99,-2
Colombia,Central and South America,Onshore conventional oil,Upstream,Oil,Replace with electric motor,50.05,-2
Indonesia,Asia Pacific,Offshore oil,Upstream,Oil,Associated gas utilisation,19.43,-2
South Africa,Africa,Onshore conventional oil,Upstream,Oil,Vapour recovery units,0.06,-2
Saudi Arabia,Middle East,Downstream oil,Downstream,Oil,Vapour recovery units,2.3,-2
United Kingdom,Europe,Onshore conventional oil,Upstream,Oil,Replace with electric motor,0.29,-2
United Arab Emirates,Middle East,Offshore oil,Upstream,Oil,Replace with electric motor,9.83,-1.99
Trinidad and Tobago,Central and South America,Offshore gas,Upstream,Gas,Replace with electric motor,1.17,-1.99
Senegal,Africa,Downstream oil,Downstream,Oil,Vapour recovery units,0.08,-1.99
Romania,Europe,Offshore oil,Upstream,Oil,Replace with electric motor,0.11,-1.99
Russia,Russia & Caspian,Offshore gas,Upstream,Gas,Annual LDAR,0.48,-1.98
Russia,Russia & Caspian,Offshore oil,Upstream,Oil,Annual LDAR,0.63,-1.98
Peru,Central and South America,Onshore conventional gas,Upstream,Gas,Replace with electric motor,12.07,-1.98
New Zealand,Asia Pacific,Offshore gas,Upstream,Gas,Associated gas utilisation,0.95,-1.97
Mozambique,Africa,Downstream oil,Downstream,Oil,Vapour recovery units,0.18,-1.97
Trinidad and Tobago,Central and South America,Onshore conventional oil,Upstream,Oil,Replace with electric motor,1.25,-1.97
Mozambique,Africa,Downstream gas,Downstream,Gas,Vapour recovery units,0.01,-1.96
Oman,Middle East,Downstream oil,Downstream,Oil,Vapour recovery units,0.33,-1.96
Indonesia,Asia Pacific,Downstream oil,Downstream,Oil,Vapour recovery units,6.09,-1.96
Colombia,Central and South America,Downstream gas,Downstream,Gas,Replace with electric motor,1.88,-1.96
Venezuela,Central and South America,Offshore gas,Upstream,Gas,Replace with electric motor,1.18,-1.96
Kenya,Africa,Downstream oil,Downstream,Oil,Vapour recovery units,0.19,-1.95
Ghana,Africa,Downstream oil,Downstream,Oil,Vapour recovery units,0.22,-1.95
Egypt,Africa,Onshore conventional oil,Upstream,Oil,Replace with electric motor,23.77,-1.95
Equatorial Guinea,Africa,Downstream oil,Downstream,Oil,Vapour recovery units,0.02,-1.95
Eritrea,Africa,Downstream oil,Downstream,Oil,Vapour recovery units,0.01,-1.95
Ethiopia,Africa,Downstream oil,Downstream,Oil,Vapour recovery units,0.19,-1.95
Other,Other,Downstream gas,Downstream,Gas,Replace with electric motor,0.77,-1.95
Netherlands,Europe,Downstream oil,Downstream,Oil,Vapour recovery units,0.18,-1.95
Trinidad and Tobago,Central and South America,Onshore conventional gas,Upstream,Gas,Replace with electric motor,0.64,-1.95
Syria,Middle East,Downstream gas,Downstream,Gas,Replace with electric motor,3.43,-1.94
Other,Other,Onshore conventional gas,Upstream,Gas,Replace with electric motor,0.01,-1.94
Iran,Middle East,Downstream gas,Downstream,Gas,Replace with electric motor,39.53,-1.94
Iraq,Middle East,Downstream gas,Downstream,Gas,Replace with electric motor,1.94,-1.94
Bahrain,Middle East,Onshore conventional gas,Upstream,Gas,Replace with electric motor,10.47,-1.94
Azerbaijan,Russia & Caspian,Downstream gas,Downstream,Gas,Vapour recovery units,0.04,-1.94
Bolivia,Central and South America,Onshore conventional oil,Upstream,Oil,Replace with electric motor,3.73,-1.94
Australia,Asia Pacific,Offshore oil,Upstream,Oil,Vapour recovery units,6.48,-1.93
Other countries in Southeast Asia,Asia Pacific,Onshore conventional oil,Upstream,Oil,Other,0.23,-1.93
Sudan,Africa,Onshore conventional oil,Upstream,Oil,Replace with electric motor,3.76,-1.93
Venezuela,Central and South America,Offshore oil,Upstream,Oil,Replace with electric motor,3.46,-1.93
Tunisia,Africa,Offshore oil,Upstream,Oil,Replace with electric motor,0.08,-1.92
Other,Other,Onshore conventional gas,Upstream,Gas,Install plunger,0.03,-1.92
Argentina,Central and South America,Unconventional oil,Upstream,Oil,Replace with electric motor,73.26,-1.92
Argentina,Central and South America,Offshore gas,Upstream,Gas,Replace with electric motor,0.59,-1.92
Argentina,Central and South America,Onshore conventional oil,Upstream,Oil,Replace with electric motor,32.76,-1.92
Algeria,Africa,Downstream gas,Downstream,Gas,Replace with electric motor,13.92,-1.91
Algeria,Africa,Onshore conventional oil,Upstream,Oil,Replace with electric motor,163.07,-1.91
Italy,Europe,Onshore conventional oil,Upstream,Oil,Associated gas utilisation,0.32,-1.91
Libya,Africa,Downstream gas,Downstream,Gas,Replace with electric motor,1.53,-1.91
Ecuador,Central and South America,Downstream oil,Downstream,Oil,Vapour recovery units,15.38,-1.91
Morocco,Africa,Onshore conventional gas,Upstream,Gas,Replace with electric motor,0.03,-1.91
Other,Other,Downstream gas,Downstream,Gas,Replace with electric motor,4.91,-1.91
Turkmenistan,Russia & Caspian,Downstream gas,Downstream,Gas,Vapour recovery units,0.68,-1.91
Venezuela,Central and South America,Onshore conventional gas,Upstream,Gas,Replace with electric motor,38.27,-1.91
Other,Other,Onshore conventional gas,Upstream,Gas,Vapour recovery units,0.01,-1.9
Other countries in Southeast Asia,Asia Pacific,Onshore conventional oil,Upstream,Oil,Associated gas utilisation,0.16,-1.9
Angola,Africa,Offshore gas,Upstream,Gas,Associated gas utilisation,0.02,-1.9
Australia,Asia Pacific,Offshore oil,Upstream,Oil,Other,0.17,-1.9
India,Asia Pacific,Downstream gas,Downstream,Gas,Vapour recovery units,1.3,-1.89
Kazakhstan,Russia & Caspian,Downstream gas,Downstream,Gas,Vapour recovery units,0.07,-1.89
Other,Other,Onshore conventional oil,Upstream,Oil,Replace pumps,0.53,-1.89
Other countries in Southeast Asia,Asia Pacific,Onshore conventional gas,Upstream,Gas,Other,0.03,-1.89
Nigeria,Africa,Offshore gas,Upstream,Gas,Replace with electric motor,1.11,-1.89
Trinidad and Tobago,Central and South America,Offshore oil,Upstream,Oil,Replace with electric motor,0.25,-1.89
United Arab Emirates,Middle East,Downstream oil,Downstream,Oil,Vapour recovery units,1.17,-1.89
Qatar,Middle East,Downstream oil,Downstream,Oil,Vapour recovery units,0.32,-1.89
Libya,Africa,Onshore conventional oil,Upstream,Oil,Replace with electric motor,88.32,-1.88
Argentina,Central and South America,Onshore conventional gas,Upstream,Gas,Replace with electric motor,9.83,-1.88
Australia,Asia Pacific,Offshore gas,Upstream,Gas,Biannual LDAR,2.71,-1.88
Australia,Asia Pacific,Offshore oil,Upstream,Oil,Biannual LDAR,0.37,-1.88
Argentina,Central and South America,Unconventional gas,Upstream,Gas,Replace with electric motor,51.1,-1.87
Colombia,Central and South America,Onshore conventional oil,Upstream,Oil,Replace pumps,43.09,-1.87
Cameroon,Africa,Offshore oil,Upstream,Oil,Associated gas utilisation,19.65,-1.87
Lebanon,Middle East,Downstream oil,Downstream,Oil,Vapour recovery units,0.21,-1.87
Germany,Europe,Downstream oil,Downstream,Oil,Quarterly LDAR,0.41,-1.87
Germany,Europe,Downstream gas,Downstream,Gas,Quarterly LDAR,9.61,-1.87
Nigeria,Africa,Onshore conventional oil,Upstream,Oil,Replace with electric motor,89.4,-1.87
Peru,Central and South America,Downstream gas,Downstream,Gas,Replace with electric motor,1.26,-1.87
Viet Nam,Asia Pacific,Offshore oil,Upstream,Oil,Replace with electric motor,1.16,-1.87
Paraguay,Central and South America,Downstream oil,Downstream,Oil,Vapour recovery units,0.08,-1.86
Turkmenistan,Russia & Caspian,Offshore oil,Upstream,Oil,Vapour recovery units,49.61,-1.86
Nigeria,Africa,Onshore conventional gas,Upstream,Gas,Replace with electric motor,32.72,-1.85
Nigeria,Africa,Offshore oil,Upstream,Oil,Associated gas utilisation,230.76,-1.85
Egypt,Africa,Offshore oil,Upstream,Oil,Replace with electric motor,1.18,-1.85
Indonesia,Asia Pacific,Offshore oil,Upstream,Oil,Replace with electric motor,0.99,-1.84
Other,Other,Downstream gas,Downstream,Gas,Replace with electric motor,0.73,-1.84
Pakistan,Asia Pacific,Downstream gas,Downstream,Gas,Replace with electric motor,15.09,-1.84
Other countries in Europe,Europe,Onshore conventional gas,Upstream,Gas,Vapour recovery units,0.01,-1.84
Turkmenistan,Russia & Caspian,Offshore oil,Upstream,Oil,Other,1.29,-1.84
Trinidad and Tobago,Central and South America,Downstream gas,Downstream,Gas,Replace with electric motor,2.52,-1.84
Sweden,Europe,Downstream gas,Downstream,Gas,Quarterly LDAR,0.22,-1.83
Sweden,Europe,Downstream oil,Downstream,Oil,Quarterly LDAR,0.06,-1.83
Peru,Central and South America,Onshore conventional oil,Upstream,Oil,Replace with electric motor,4.3,-1.83
Malaysia,Asia Pacific,Downstream gas,Downstream,Gas,Vapour recovery units,0.53,-1.83
Egypt,Africa,Downstream oil,Downstream,Oil,Vapour recovery units,1.73,-1.83
Argentina,Central and South America,Offshore oil,Upstream,Oil,Replace with electric motor,0.19,-1.83
Uzbekistan,Russia & Caspian,Onshore conventional gas,Upstream,Gas,Install plunger,6.4,-1.83
Germany,Europe,Offshore gas,Upstream,Gas,Associated gas utilisation,0.01,-1.82
Germany,Europe,Offshore oil,Upstream,Oil,Associated gas utilisation,0.76,-1.82
Ghana,Africa,Offshore oil,Upstream,Oil,Replace with electric motor,0.82,-1.81
Jordan,Middle East,Onshore conventional gas,Upstream,Gas,Install plunger,0.01,-1.81
Kuwait,Middle East,Onshore conventional gas,Upstream,Gas,Install plunger,0.72,-1.81
Iran,Middle East,Onshore conventional gas,Upstream,Gas,Install plunger,2.85,-1.81
Iraq,Middle East,Onshore conventional gas,Upstream,Gas,Install plunger,0.4,-1.81
Japan,Asia Pacific,Onshore conventional gas,Upstream,Gas,Other,0.15,-1.81
Australia,Asia Pacific,Downstream gas,Downstream,Gas,Replace with electric motor,3.09,-1.81
Bahrain,Middle East,Onshore conventional gas,Upstream,Gas,Install plunger,0.97,-1.81
Oman,Middle East,Unconventional gas,Upstream,Gas,Install plunger,0.94,-1.81
Oman,Middle East,Onshore conventional gas,Upstream,Gas,Install plunger,1.41,-1.81
Syria,Middle East,Onshore conventional gas,Upstream,Gas,Install plunger,0.85,-1.81
Saudi Arabia,Middle East,Unconventional gas,Upstream,Gas,Install plunger,0.13,-1.81
Saudi Arabia,Middle East,Onshore conventional gas,Upstream,Gas,Install plunger,1.25,-1.81
Qatar,Middle East,Onshore conventional gas,Upstream,Gas,Install plunger,0.11,-1.81
Tanzania,Africa,Onshore conventional gas,Upstream,Gas,Vapour recovery units,0.37,-1.81
United Arab Emirates,Middle East,Onshore conventional gas,Upstream,Gas,Install plunger,1.75,-1.81
Yemen,Middle East,Onshore conventional gas,Upstream,Gas,Install plunger,0.01,-1.81
Uruguay,Central and South America,Downstream gas,Downstream,Gas,Replace with electric motor,0.03,-1.8
